EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,CLASE
1,-3,-3,-1,0,-3,-1,0,V
5,0,-1,-1,-3,1,4,4,V
-19,-12,-7,-4,-5,-2,-9,-12,V
26,4,0,1,2,5,10,16,V
35,15,2,0,8,3,3,6,V
-1,4,2,0,0,2,2,0,V
-9,-13,-3,2,4,2,3,-4,V
0,-8,0,2,2,0,4,3,V
-8,6,-13,-12,-13,-22,1,-4,V
9,-5,5,0,2,1,-9,0,V
-5,-8,-2,-3,-4,-4,9,0,V
8,-1,-5,-1,1,16,-26,-6,V
-9,24,-1,4,-1,1,39,-14,V
-3,18,7,-4,-3,8,9,1,V
4,-9,-7,2,15,69,34,2,V
7,-24,2,-9,-6,-2,-23,-5,V
5,-1,-4,-6,3,1,4,2,W
-45,0,9,7,-6,-4,-8,-19,W
-60,-7,-3,-2,-1,-3,-7,-25,W
36,10,0,3,4,-2,3,14,W
-20,-1,-4,2,-2,-1,0,-7,W
33,3,-2,-1,-2,-1,4,18,W
-16,-3,-1,-6,-4,0,3,-6,W
-8,0,4,-3,-9,1,10,8,W
18,16,3,1,0,-2,-1,0,W
-26,-13,-4,-1,-1,0,-2,-5,W
33,8,-1,-1,-3,-6,-2,4,W
-1,-30,-11,-2,0,1,-2,0,W
-20,10,-1,-1,-1,-3,-3,-7,W
-18,5,-3,-1,-1,-1,-3,-10,W
-17,2,-3,-4,-5,-7,-6,-6,W
0,4,0,0,0,-1,-3,-5,W
-4,-8,2,7,5,2,10,0,W
1,-4,-1,3,1,-5,25,5,W
-20,-25,-3,-1,-6,-14,-93,-21,W
-30,-37,-4,0,2,7,11,1,W
0,7,1,2,1,9,65,5,W
-26,-24,28,3,3,5,-11,2,W
2,-1,-13,3,-2,-3,38,5,W
-5,-26,-14,-6,-3,-5,-11,-4,W
-3,0,1,4,11,1,1,2,Y
12,-2,5,2,1,2,-1,12,Y
-10,-3,-2,-4,-1,0,-2,-19,Y
-1,-3,-3,-13,-11,0,2,-1,Y
10,4,-1,5,5,1,1,5,Y
-9,-11,-5,-1,1,-2,-5,-9,Y
10,0,1,26,17,2,3,28,Y
-4,-4,-4,-8,2,1,2,-3,Y
-4,-13,0,-4,-3,-10,-5,-4,Y
2,16,18,0,5,18,16,7,Y
-1,-8,-6,-6,-3,-5,-2,4,Y
-1,10,-5,0,6,10,7,2,Y
-2,9,31,3,4,1,-7,-6,Y
-2,23,10,-1,1,9,-4,-11,Y
0,-4,-1,3,3,6,-2,-6,Y
-3,12,37,9,4,3,-3,-8,Y
3,2,-1,-2,2,-1,1,0,Y
-2,-2,-1,2,4,1,-2,-3,Y
-4,-6,-3,-2,-2,-3,-1,-1,Y
-3,-3,-3,-3,-2,-3,-5,-6,Y
-2,-1,-2,0,-3,0,0,-1,Y
1,-1,0,0,-1,1,1,0,Y
1,6,3,3,5,2,-2,-6,Y
-3,0,-2,-6,-12,-4,-2,-5,Y
